"KundenNr";"Zeitstempel";"PLZ";"Schulform";"Museum"
1293;"2014-04-01 10:15:00";21077;"Grundschule";"Hamburger Kunsthalle"
197555;"2014-02-18 10:00:00";22045;"Grundschule";"Museum für Kunst und Gewerbe "
194897;"2016-02-04 09:30:00";21107;"Grundschule";"Zoologisches Museum im CeNaK"
136338;"2014-12-09 10:30:00";22767;"Grundschule";"Hamburger Kunsthalle"
139873;"2015-06-17 10:30:00";22049;"Grundschule";"Zoologisches Museum im CeNaK"
201479;"2014-10-23 10:30:00";20144;"Grundschule";"Museum der Arbeit "
3099;"2016-05-24 11:00:00";22083;"Grundschule";"Museum für Hamburgische Geschichte"
157873;"2015-11-10 13:00:00";20146;"Stadtteilschule";"Archäologisches Museum Hamburg "
69181;"2016-06-28 11:00:00";22145;"Grundschule";"Museum für Hamburgische Geschichte"
213813;"2016-07-01 10:00:00";20359;"Grundschule";"Museum für Völkerkunde Hamburg"
141633;"2013-01-04 11:00:00";20097;"Grundschule";"Museum für Hamburgische Geschichte"
1293;"2015-03-25 09:00:00";21077;"Grundschule";"Archäologisches Museum Hamburg "
200085;"2014-05-23 10:30:00";20457;"Grundschule";"Hamburger Kunsthalle"
112201;"2014-05-13 09:00:00";21031;"Stadtteilschule";"Museum für Bergedorf und die Vierlande"
3610;"2013-04-09 10:30:00";22083;"Grundschule";"Altonaer Museum "
28846;"2014-05-22 10:00:00";22179;"Grundschule";"Hamburger Kunsthalle"
178243;"2014-05-06 09:30:00";22339;"Grundschule";"Museum für Völkerkunde Hamburg"
197727;"2016-06-14 09:00:00";21109;"Grundschule";"Archäologisches Museum Hamburg "
210653;"2015-10-28 10:30:00";21077;"Grundschule";"Museum für Völkerkunde Hamburg"
158678;"2015-04-24 11:00:00";22303;"Stadtteilschule";"Hamburger Kunsthalle"
48781;"2014-05-06 10:30:00";22335;"Grundschule";"Museum der Arbeit "
112891;"2013-11-19 10:00:00";22415;"Grundschule";"Zoologisches Museum im CeNaK"
196126;"2013-11-06 10:00:00";20144;"Grundschule";"Zoologisches Museum im CeNaK"
2855;"2015-10-02 10:00:00";20249;"Grundschule";"Museum für Hamburgische Geschichte"
215137;"2016-03-16 11:00:00";21031;"Grundschule";"Zoologisches Museum im CeNaK"
48781;"2014-05-13 10:30:00";22335;"Grundschule";"Museum der Arbeit "
197727;"2016-07-13 09:00:00";21109;"Grundschule";"Archäologisches Museum Hamburg "
172653;"2016-05-31 10:00:00";22395;"Grundschule";"Museum der Arbeit "
177783;"2016-02-26 09:00:00";22149;"Grundschule";"Bucerius Kunst Forum"
196880;"2013-12-12 13:30:00";20146;"Stadtteilschule";"Zoologisches Museum im CeNaK"
125351;"2014-02-04 09:00:00";21031;"Grundschule";"Museum für Bergedorf und die Vierlande"
172653;"2016-06-01 10:30:00";22395;"Grundschule";"Hamburger Kunsthalle"
152028;"2015-05-21 09:00:00";22111;"Grundschule";"Museum für Völkerkunde Hamburg"
29391;"2015-02-06 10:00:00";22339;"Grundschule";"Museum für Hamburgische Geschichte"
197640;"2014-06-16 10:00:00";20249;"Grundschule";"BallinStadt - das Auswanderermuseum Hamburg"
492;"2013-11-21 10:00:00";22359;"Grundschule";"Hamburger Kunsthalle"
81986;"2013-06-04 12:00:00";21035;"Grundschule";"Hamburger Kunsthalle"
198540;"2015-10-20 11:00:00";22359;"Grundschule";"Archäologisches Museum Hamburg "
203905;"2015-06-29 09:30:00";22765;"Grundschule";"Bucerius Kunst Forum"
125351;"2013-02-28 09:30:00";21031;"Grundschule";"Museum für Bergedorf und die Vierlande"
164463;"2013-09-10 10:00:00";21031;"Grundschule";"Museum für Kunst und Gewerbe "
23426;"2014-04-01 10:00:00";20259;"Grundschule";"Museum für Kunst und Gewerbe "
200186;"2014-06-20 11:30:00";22115;"Grundschule";"Hamburger Kunsthalle"
197861;"2014-06-12 09:30:00";21029;"Grundschule";"Museum für Bergedorf und die Vierlande"
198534;"2014-04-11 10:30:00";22607;"Grundschule";"Bucerius Kunst Forum"
197523;"2014-02-25 09:00:00";21031;"Grundschule";"Museum für Völkerkunde Hamburg"
149978;"2016-04-18 09:30:00";22303;"Grundschule";"Bucerius Kunst Forum"
202319;"2015-09-17 09:00:00";22767;"Grundschule";"Bucerius Kunst Forum"
210653;"2016-07-28 10:30:00";21077;"Grundschule";"Museum für Hamburgische Geschichte"
116596;"2016-04-08 11:00:00";21029;"Grundschule";"Museum für Bergedorf und die Vierlande"
202270;"2016-08-24 10:00:00";21073;"Grundschule";"Speicherstadtmuseum"
3866;"2013-11-14 11:00:00";20249;"Grundschule";"Zoologisches Museum im CeNaK"
3519;"2014-06-17 13:00:00";21031;"Grundschule";"Museum für Bergedorf und die Vierlande"
121436;"2014-01-23 10:00:00";22303;"Grundschule";"Museum für Völkerkunde Hamburg"
208684;"2015-07-22 11:30:00";21075;"Grundschule";"Zoologisches Museum im CeNaK"
3106;"2014-05-07 10:00:00";22397;"Grundschule";"Museum für Hamburgische Geschichte"
3255;"2014-05-15 11:00:00";20255;"Grundschule";"Zoologisches Museum im CeNaK"
113676;"2016-07-05 10:00:00";21035;"Grundschule";"Hamburger Kunsthalle"
93306;"2015-04-22 10:00:00";20249;"Grundschule";"Altonaer Museum "
211010;"2015-10-28 10:30:00";22549;"Grundschule";"Museum der Arbeit "
207968;"2015-10-01 10:30:00";20099;"Stadtteilschule";"Museum für Kunst und Gewerbe "
68661;"2015-06-10 11:00:00";20149;"Grundschule";"Deichtorhallen Hamburg - Internationale Kunst und Fotografie"
211571;"2015-10-22 12:30:00";21031;"Grundschule";"Museum für Bergedorf und die Vierlande"
168423;"2016-05-12 09:00:00";21035;"Grundschule";"Museum für Bergedorf und die Vierlande"
90546;"2013-04-26 10:00:00";22117;"Grundschule";"Hamburger Kunsthalle"
197691;"2016-03-11 10:00:00";20097;"Grundschule";"Museum der Arbeit "
77706;"2015-10-27 11:00:00";20144;"Grundschule";"Archäologisches Museum Hamburg "
163753;"2016-03-11 12:00:00";22589;"Grundschule";"Altonaer Museum "
3516;"2015-07-06 10:00:00";22359;"Grundschule";"Speicherstadtmuseum"
144658;"2013-10-23 10:15:00";22397;"Grundschule";"Zoologisches Museum im CeNaK"
200439;"2014-07-16 11:00:00";22395;"Grundschule";"Archäologisches Museum Hamburg "
137988;"2015-10-09 11:00:00";22337;"Gymnasium";"Museum für Hamburgische Geschichte"
219625;"2016-07-12 10:30:00";22763;"Gymnasium";"BallinStadt - das Auswanderermuseum Hamburg"
208811;"2015-08-20 10:00:00";22391;"Grundschule";"Hafenmuseum Hamburg"
3839;"2015-06-18 10:30:00";20253;"Grundschule";"Museum für Hamburgische Geschichte"
211327;"2015-10-28 11:00:00";21149;"Grundschule";"Archäologisches Museum Hamburg "
198379;"2014-03-11 10:30:00";22047;"Grundschule";"Museum der Arbeit "
211571;"2016-03-09 10:00:00";21031;"Grundschule";"Freilichtmuseum Rieck Haus "
167633;"2014-11-07 10:00:00";21075;"Grundschule";"Museum für Völkerkunde Hamburg"
132021;"2013-05-24 10:00:00";22115;"Grundschule";"Zoologisches Museum im CeNaK"
2999;"2015-04-21 09:30:00";21035;"Grundschule";"Bucerius Kunst Forum"
172653;"2016-05-31 10:00:00";22395;"Grundschule";"Museum der Arbeit "
196609;"2016-06-17 11:30:00";22335;"Grundschule";"Museum für Hamburgische Geschichte"
166278;"2014-06-26 10:30:00";21077;"Grundschule";"Hamburger Kunsthalle"
207332;"2015-06-30 11:00:00";22303;"Grundschule";"Deichtorhallen Hamburg - Internationale Kunst und Fotografie"
130601;"2016-06-01 10:30:00";22399;"Grundschule";"Museum für Hamburgische Geschichte"
90546;"2013-02-28 09:30:00";22117;"Grundschule";"Altonaer Museum "
208105;"2015-08-04 11:00:00";21075;"Stadtteilschule";"Archäologisches Museum Hamburg "
206441;"2015-04-13 10:00:00";22453;"Grundschule";"Bucerius Kunst Forum"
195446;"2015-10-21 10:30:00";22767;"Stadtteilschule";"Hamburger Kunsthalle"
170563;"2013-04-17 10:00:00";22117;"Grundschule";"Zoologisches Museum im CeNaK"
194410;"2013-11-13 10:30:00";20099;"Grundschule";"Hamburger Kunsthalle"
62736;"2016-05-26 12:00:00";22767;"Stadtteilschule";"Museum für Hamburgische Geschichte"
137128;"2016-06-28 10:30:00";22145;"Grundschule";"Museum für Hamburgische Geschichte"
2072;"2014-02-20 10:00:00";20357;"Grundschule";"Museum für Völkerkunde Hamburg"
144658;"2016-11-18 10:15:00";22397;"Grundschule";"Zoologisches Museum im CeNaK"
161693;"2016-07-06 10:30:00";22453;"Grundschule";"Museum für Hamburgische Geschichte"
208976;"2015-10-22 10:00:00";22117;"Grundschule";"Zoologisches Museum im CeNaK"
13601;"2014-10-21 10:30:00";22763;"Grundschule";"Museum der Arbeit "
53532;"2015-06-02 10:00:00";22395;"Grundschule";"Museum für Hamburgische Geschichte"
206662;"2015-04-21 09:30:00";20355;"Grundschule";"Museum für Völkerkunde Hamburg"
125691;"2015-06-24 09:00:00";22549;"Grundschule";"Hamburger Kunsthalle"
3206;"2014-01-28 10:15:00";22089;"Grundschule";"Hamburger Kunsthalle"
121456;"2016-07-13 09:00:00";21031;"Stadtteilschule";"Archäologisches Museum Hamburg "
99931;"2015-06-30 10:00:00";22767;"Grundschule";"Altonaer Museum "
99576;"2016-06-28 10:00:00";22117;"Grundschule";"Hamburger Kunsthalle"
2855;"2015-10-13 10:00:00";20249;"Grundschule";"Museum für Hamburgische Geschichte"
192888;"2016-03-17 11:00:00";21077;"Grundschule";"Altonaer Museum "
211074;"2015-11-05 12:00:00";20144;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
62991;"2015-11-03 10:00:00";20249;"Grundschule";"Museum für Hamburgische Geschichte"
79906;"2016-06-17 10:00:00";22159;"Grundschule";"Museum der Arbeit "
29571;"2015-03-24 10:15:00";22339;"Grundschule";"Museum für Völkerkunde Hamburg"
204563;"2016-06-15 10:15:00";22523;"Grundschule";"Hamburger Kunsthalle"
103256;"2016-06-22 10:00:00";22529;"Grundschule";"Hamburger Kunsthalle"
187598;"2014-02-21 10:30:00";22767;"Stadtteilschule";"Hamburger Kunsthalle"
206673;"2015-04-02 10:30:00";22083;"Grundschule";"Zoologisches Museum im CeNaK"
192477;"2013-04-04 15:00:00";21073;"Stadtteilschule";"Archäologisches Museum Hamburg "
63486;"2013-05-16 10:00:00";22149;"Grundschule";"Hamburger Kunsthalle"
200124;"2014-06-12 10:00:00";22337;"Grundschule";"Museum für Völkerkunde Hamburg"
28846;"2014-05-15 10:00:00";22179;"Grundschule";"Hamburger Kunsthalle"
58236;"2016-06-21 10:30:00";22359;"Grundschule";"Museum für Hamburgische Geschichte"
194677;"2013-09-12 09:30:00";22395;"Grundschule";"Museum für Völkerkunde Hamburg"
165368;"2016-07-12 10:00:00";20144;"Grundschule";"Museum für Völkerkunde Hamburg"
197691;"2014-03-05 11:00:00";20097;"Grundschule";"Museum für Völkerkunde Hamburg"
199708;"2014-05-20 10:15:00";22547;"Grundschule";"Zoologisches Museum im CeNaK"
13601;"2015-03-05 10:00:00";22763;"Grundschule";"Altonaer Museum "
192387;"2013-05-30 13:00:00";22119;"Grundschule";"Archäologisches Museum Hamburg "
200860;"2016-03-08 11:00:00";22547;"Grundschule";"Zoologisches Museum im CeNaK"
202270;"2016-08-10 10:00:00";21073;"Grundschule";"Museum für Kunst und Gewerbe "
191131;"2013-02-13 10:00:00";22147;"Grundschule";"Hamburger Kunsthalle"
208938;"2016-08-18 10:15:00";22767;"Stadtteilschule";"Internationales Maritimes Museum Hamburg"
22271;"2016-02-23 09:30:00";22147;"Grundschule";"Bucerius Kunst Forum"
200489;"2014-09-04 09:00:00";22767;"Grundschule";"Archäologisches Museum Hamburg "
193316;"2014-06-03 10:00:00";22765;"Grundschule";"Zoologisches Museum im CeNaK"
203165;"2015-02-12 10:00:00";22299;"Grundschule";"Hamburger Kunsthalle"
198338;"2015-10-20 10:00:00";22549;"Grundschule";"Altonaer Museum "
2637;"2014-06-05 10:15:00";21035;"Grundschule";"Hamburger Kunsthalle"
206478;"2015-05-26 09:15:00";21037;"Grundschule";"Museum für Hamburgische Geschichte"
199901;"2014-06-20 10:00:00";21077;"Grundschule";"Hamburger Kunsthalle"
194290;"2013-08-27 12:00:00";22307;"Stadtteilschule";"Museum für Hamburgische Geschichte"
103611;"2016-03-23 10:00:00";22359;"Grundschule";"Museum für Kunst und Gewerbe "
122621;"2015-06-12 10:00:00";22523;"Grundschule";"Museum für Hamburgische Geschichte"
194410;"2013-10-22 10:30:00";20099;"Grundschule";"Hamburger Kunsthalle"
147728;"2013-06-12 12:15:00";22761;"Grundschule";"Museum für Hamburgische Geschichte"
207968;"2015-09-23 10:30:00";20099;"Stadtteilschule";"Museum für Kunst und Gewerbe "
155858;"2014-06-26 10:00:00";22589;"Grundschule";"Hamburger Kunsthalle"
199487;"2014-06-26 10:15:00";22767;"Grundschule";"Hamburger Kunsthalle"
90546;"2014-04-10 10:00:00";22117;"Grundschule";"Hamburger Kunsthalle"
127096;"2015-06-09 09:00:00";20255;"Grundschule";"Archäologisches Museum Hamburg "
163753;"2016-03-11 10:00:00";22589;"Grundschule";"Altonaer Museum "
76606;"2015-05-07 11:30:00";21029;"Grundschule";"Hafenmuseum Hamburg"
209658;"2015-09-17 10:00:00";22765;"Grundschule";"Altonaer Museum "
114996;"2013-04-02 10:00:00";22147;"Grundschule";"Museum für Völkerkunde Hamburg"
144658;"2013-11-14 10:00:00";22397;"Grundschule";"Museum der Arbeit "
199292;"2014-04-09 14:00:00";22763;"Grundschule";"Museum für Hamburgische Geschichte"
76606;"2015-05-05 10:00:00";21029;"Grundschule";"Speicherstadtmuseum"
204990;"2015-02-10 09:00:00";21077;"Grundschule";"Archäologisches Museum Hamburg "
69616;"2014-11-07 10:00:00";22767;"Grundschule";"Museum für Kunst und Gewerbe "
96936;"2013-06-12 10:00:00";22337;"Stadtteilschule";"Museum für Völkerkunde Hamburg"
197905;"2016-05-11 13:30:00";20097;"Grundschule";"Bucerius Kunst Forum"
79906;"2016-06-17 11:45:00";22159;"Grundschule";"Museum der Arbeit "
132936;"2016-06-15 09:00:00";22045;"Grundschule";"Museum für Hamburgische Geschichte"
208397;"2015-07-21 10:30:00";22041;"Grundschule";"Hamburger Kunsthalle"
4063;"2016-07-14 10:30:00";21079;"Grundschule";"Museum für Hamburgische Geschichte"
205512;"2015-04-13 13:30:00";22767;"Grundschule";"Museum der Arbeit "
133041;"2013-05-14 10:30:00";22527;"Grundschule";"Museum für Völkerkunde Hamburg"
206977;"2016-06-08 10:00:00";21147;"Grundschule";"Hafenmuseum Hamburg"
23426;"2014-04-02 10:00:00";20259;"Grundschule";"Museum für Kunst und Gewerbe "
208240;"2015-06-23 11:00:00";22765;"Grundschule";"Altonaer Museum "
107831;"2015-11-18 10:00:00";22175;"Grundschule";"Zoologisches Museum im CeNaK"
4359;"2015-11-11 09:00:00";22303;"Grundschule";"Hamburger Kunsthalle"
139873;"2014-01-16 10:00:00";22049;"Grundschule";"Zoologisches Museum im CeNaK"
208075;"2015-06-16 10:30:00";22159;"Stadtteilschule";"Museum der Arbeit "
3061;"2016-06-07 10:30:00";22303;"Grundschule";"Museum für Hamburgische Geschichte"
208034;"2015-07-10 09:00:00";21029;"Gymnasium";"KZ-Gedenkstätte Neuengamme"
167808;"2014-12-10 10:00:00";22769;"Grundschule";"Zoologisches Museum im CeNaK"
152393;"2013-10-22 10:00:00";21149;"Grundschule";"Altonaer Museum "
207491;"2015-05-12 10:30:00";22149;"Grundschule";"Hafenmuseum Hamburg"
166048;"2015-06-04 11:00:00";22605;"Sonderschule";"Archäologisches Museum Hamburg "
193505;"2013-06-07 10:00:00";22117;"Grundschule";"Hamburger Kunsthalle"
191645;"2013-04-04 10:15:00";21033;"Grundschule";"Museum für Völkerkunde Hamburg"
22271;"2016-02-23 09:30:00";22415;"Grundschule";"Bucerius Kunst Forum"
194410;"2013-10-30 10:30:00";20099;"Grundschule";"Hamburger Kunsthalle"
197939;"2016-02-12 10:00:00";20259;"Grundschule";"Museum für Kunst und Gewerbe "
206918;"2015-05-19 10:00:00";22529;"Grundschule";"Zoologisches Museum im CeNaK"
2637;"2013-04-24 10:15:00";21035;"Grundschule";"Hamburger Kunsthalle"
190886;"2013-04-04 10:15:00";22395;"Grundschule";"Hamburger Kunsthalle"
86696;"2016-04-21 10:00:00";22303;"Grundschule";"Bucerius Kunst Forum"
96861;"2015-05-21 10:00:00";20148;"Grundschule";"Zoologisches Museum im CeNaK"
210975;"2015-10-20 10:00:00";22359;"Gymnasium";"Hamburger Kunsthalle"
194562;"2013-09-04 10:00:00";22307;"Stadtteilschule";"KZ-Gedenkstätte Neuengamme"
63266;"2015-11-05 10:00:00";22045;"Sonderschule";"Hamburger Kunsthalle"
197691;"2014-03-07 11:00:00";20097;"Grundschule";"HSV-Museum"
120006;"2016-04-29 11:00:00";20535;"Gymnasium";"Bucerius Kunst Forum"
202394;"2014-10-10 10:00:00";22761;"Stadtteilschule";"Zoologisches Museum im CeNaK"
2999;"2014-05-13 10:00:00";21035;"Grundschule";"Museum für Völkerkunde Hamburg"
209596;"2015-09-04 10:00:00";22337;"Stadtteilschule";"Museum für Hamburgische Geschichte"
198386;"2014-03-28 10:30:00";21077;"Grundschule";"Zoologisches Museum im CeNaK"
100106;"2015-06-05 09:00:00";21033;"Grundschule";"Hamburger Kunsthalle"
17301;"2016-02-18 13:00:00";22761;"Stadtteilschule";"Museum der Arbeit "
163753;"2014-03-04 10:15:00";22589;"Grundschule";"Zoologisches Museum im CeNaK"
206538;"2015-05-28 09:00:00";22559;"Grundschule";"Hamburger Kunsthalle"
207113;"2015-06-02 10:00:00";20249;"Grundschule";"Zoologisches Museum im CeNaK"
123161;"2016-06-09 10:00:00";20357;"Grundschule";"Hamburger Kunsthalle"
199509;"2014-06-25 10:15:00";22043;"Grundschule";"Hamburger Kunsthalle"
210132;"2015-10-01 09:00:00";21031;"Grundschule";"Archäologisches Museum Hamburg "
158373;"2015-05-26 10:00:00";22041;"Grundschule";"Museum für Völkerkunde Hamburg"
184473;"2014-06-11 11:00:00";22417;"Grundschule";"Hamburger Kunsthalle"
197727;"2016-06-29 09:00:00";21109;"Grundschule";"Zoologisches Museum im CeNaK"
99731;"2014-11-20 10:00:00";22765;"Grundschule";"Altonaer Museum "
192508;"2013-05-15 10:00:00";22523;"Grundschule";"Museum für Völkerkunde Hamburg"
204645;"2015-10-27 11:00:00";20255;"Grundschule";"Altonaer Museum "
203483;"2014-12-04 09:00:00";22763;"Grundschule";"Archäologisches Museum Hamburg "
138523;"2016-07-06 10:00:00";22337;"Stadtteilschule";"Museum für Völkerkunde Hamburg"
208938;"2016-08-24 10:00:00";22767;"Stadtteilschule";"Museum der Arbeit "
181448;"2013-03-12 12:00:00";20539;"Grundschule";"Zoologisches Museum im CeNaK"
191294;"2015-07-08 11:15:00";22457;"Stadtteilschule";"Deichtorhallen Hamburg - Internationale Kunst und Fotografie"
166278;"2014-06-26 10:00:00";21077;"Grundschule";"Hamburger Kunsthalle"
208610;"2015-07-30 10:30:00";20144;"Grundschule";"Museum für Völkerkunde Hamburg"
93306;"2015-03-25 10:00:00";20249;"Grundschule";"Zoologisches Museum im CeNaK"
209932;"2016-01-05 10:00:00";20149;"Grundschule";"Hamburger Kunsthalle"
211072;"2015-11-03 10:00:00";20259;"Grundschule";"Bucerius Kunst Forum"
170563;"2015-04-15 10:00:00";22117;"Grundschule";"Zoologisches Museum im CeNaK"
69241;"2015-04-10 10:00:00";22767;"Grundschule";"Hamburger Kunsthalle"
198417;"2016-02-15 10:00:00";22529;"Gymnasium";"Bucerius Kunst Forum"
107321;"2016-08-30 11:30:00";20357;"Grundschule";"Hamburger Kunsthalle"
113441;"2015-10-27 10:00:00";22765;"Grundschule";"Altonaer Museum "
162283;"2015-03-19 11:00:00";21109;"Grundschule";"Bucerius Kunst Forum"
2118;"2015-06-23 10:00:00";22559;"Grundschule";"Museum für Hamburgische Geschichte"
209053;"2015-07-17 10:00:00";22043;"Grundschule";"Altonaer Museum "
208250;"2015-07-02 10:30:00";22083;"Grundschule";"Hamburger Kunsthalle"
163753;"2013-03-06 11:00:00";22589;"Grundschule";"Zoologisches Museum im CeNaK"
3557;"2016-05-24 10:00:00";22337;"Grundschule";"Hamburger Kunsthalle"
191683;"2015-04-15 10:00:00";22335;"Grundschule";"Zoologisches Museum im CeNaK"
210702;"2015-11-13 10:00:00";20249;"Grundschule";"Museum für Hamburgische Geschichte"
206049;"2015-03-10 12:00:00";20257;"Grundschule";"Zoologisches Museum im CeNaK"
197727;"2016-06-14 09:00:00";21109;"Grundschule";"Archäologisches Museum Hamburg "
199565;"2015-01-20 10:00:00";20253;"Grundschule";"Hamburger Kunsthalle"
199796;"2015-04-15 11:15:00";22303;"Grundschule";"Zoologisches Museum im CeNaK"
98926;"2014-02-14 10:00:00";22159;"Stadtteilschule";"Museum der Arbeit "
192974;"2013-06-13 10:00:00";22119;"Grundschule";"Hamburger Kunsthalle"
197727;"2016-03-03 09:00:00";21109;"Grundschule";"Archäologisches Museum Hamburg "
211490;"2015-10-28 10:00:00";22547;"Grundschule";"Zoologisches Museum im CeNaK"
194067;"2016-08-02 12:00:00";22047;"Grundschule";"Altonaer Museum "
165753;"2013-03-27 10:00:00";21073;"Stadtteilschule";"Archäologisches Museum Hamburg "
164183;"2013-05-24 10:00:00";21077;"Grundschule";"Hamburger Kunsthalle"
191683;"2014-05-28 10:15:00";22335;"Grundschule";"Museum der Arbeit "
202319;"2016-06-21 10:15:00";22767;"Grundschule";"Museum für Hamburgische Geschichte"
205650;"2015-03-19 10:00:00";20257;"Grundschule";"Zoologisches Museum im CeNaK"
191546;"2013-04-30 10:00:00";22529;"Grundschule";"Hamburger Kunsthalle"
191833;"2013-05-30 10:00:00";22359;"Grundschule";"Hamburger Kunsthalle"
198206;"2014-03-05 10:30:00";22549;"Grundschule";"Internationales Maritimes Museum Hamburg"
205386;"2015-10-29 10:00:00";22143;"Grundschule";"Museum für Völkerkunde Hamburg"
127171;"2014-11-19 10:00:00";22045;"Gymnasium";"Hamburger Kunsthalle"
205452;"2015-03-24 10:30:00";22083;"Grundschule";"Hamburger Kunsthalle"
209825;"2015-09-30 11:00:00";20535;"Grundschule";"Archäologisches Museum Hamburg "
47621;"2014-04-03 11:30:00";22041;"Grundschule";"Museum für Völkerkunde Hamburg"
8521;"2014-10-09 09:00:00";21073;"Grundschule";"Hamburger Kunsthalle"
202699;"2014-10-23 10:00:00";22455;"Grundschule";"Museum für Völkerkunde Hamburg"
1638;"2013-02-20 10:00:00";22393;"Grundschule";"Museum für Völkerkunde Hamburg"
205731;"2015-03-03 13:00:00";22769;"Grundschule";"Zoologisches Museum im CeNaK"
206538;"2015-05-26 11:00:00";22559;"Grundschule";"Hamburger Kunsthalle"
211274;"2015-10-29 10:30:00";22041;"Grundschule";"Zoologisches Museum im CeNaK"
1293;"2013-03-01 10:00:00";21077;"Grundschule";"Zoologisches Museum im CeNaK"
190884;"2014-05-07 09:00:00";22359;"Grundschule";"Museum für Hamburgische Geschichte"
208938;"2015-08-19 11:00:00";22767;"Stadtteilschule";"Museum für Kunst und Gewerbe "
204738;"2015-10-22 13:00:00";21079;"Grundschule";"Altonaer Museum "
126921;"2015-12-15 11:00:00";21029;"Gymnasium";"Museum für Bergedorf und die Vierlande"
196868;"2014-02-06 10:00:00";22457;"Grundschule";"Zoologisches Museum im CeNaK"
193316;"2013-06-14 10:00:00";22765;"Grundschule";"Zoologisches Museum im CeNaK"
133051;"2014-06-19 10:00:00";22391;"Grundschule";"Zoologisches Museum im CeNaK"
158278;"2013-05-14 10:15:00";22767;"Grundschule";"Hamburger Kunsthalle"
27291;"2015-06-17 11:45:00";22159;"Grundschule";"Museum für Hamburgische Geschichte"
62991;"2013-02-27 10:00:00";20249;"Grundschule";"Zoologisches Museum im CeNaK"
3520;"2013-03-19 10:15:00";22085;"Grundschule";"Hamburger Kunsthalle"
151408;"2016-04-05 10:00:00";20255;"Grundschule";"Museum für Hamburgische Geschichte"
65211;"2016-09-07 10:15:00";20097;"Grundschule";"Hamburger Kunsthalle"
198019;"2014-02-26 10:00:00";22089;"Grundschule";"Zoologisches Museum im CeNaK"
149978;"2015-11-17 10:00:00";22303;"Grundschule";"Zoologisches Museum im CeNaK"
123526;"2015-09-17 09:30:00";22765;"Grundschule";"Bucerius Kunst Forum"
28846;"2013-04-25 10:00:00";22179;"Grundschule";"Hamburger Kunsthalle"
199510;"2016-04-22 11:00:00";20255;"Grundschule";"Bucerius Kunst Forum"
207968;"2015-10-02 10:30:00";20099;"Stadtteilschule";"Museum für Kunst und Gewerbe "
1293;"2014-03-19 10:30:00";21077;"Grundschule";"Zoologisches Museum im CeNaK"
198377;"2014-02-25 11:00:00";22149;"Grundschule";"Hamburger Kunsthalle"
195446;"2015-10-27 11:00:00";22767;"Stadtteilschule";"Museum für Bergedorf und die Vierlande"
192407;"2013-04-19 10:00:00";22457;"Grundschule";"Zoologisches Museum im CeNaK"
63486;"2013-03-28 10:00:00";22149;"Grundschule";"Museum für Völkerkunde Hamburg"
152118;"2016-01-20 09:00:00";22337;"Stadtteilschule";"Archäologisches Museum Hamburg "
2858;"2016-01-12 10:00:00";22765;"Grundschule";"Hamburger Kunsthalle"
191808;"2013-03-08 11:00:00";22145;"Grundschule";"Zoologisches Museum im CeNaK"
208054;"2015-07-09 10:00:00";22159;"Grundschule";"Zoologisches Museum im CeNaK"
29391;"2013-10-30 10:00:00";22339;"Grundschule";"Zoologisches Museum im CeNaK"
199375;"2014-04-30 10:00:00";20253;"Grundschule";"Zoologisches Museum im CeNaK"
206262;"2015-04-23 09:30:00";22453;"Grundschule";"Bucerius Kunst Forum"
207968;"2015-09-08 10:30:00";20099;"Stadtteilschule";"Museum für Kunst und Gewerbe "
69616;"2014-05-07 10:00:00";22767;"Grundschule";"Museum für Kunst und Gewerbe "
88931;"2016-04-27 11:00:00";22337;"Grundschule";"Museum für Bergedorf und die Vierlande"
178243;"2013-02-15 10:00:00";22339;"Grundschule";"Museum für Völkerkunde Hamburg"
164368;"2016-05-25 10:30:00";22297;"Grundschule";"Museum für Hamburgische Geschichte"
1866;"2013-04-05 10:00:00";20253;"Grundschule";"Hamburger Kunsthalle"
219414;"2016-07-28 10:15:00";22397;"Grundschule";"BallinStadt - das Auswanderermuseum Hamburg"
211446;"2015-10-22 11:00:00";20457;"Grundschule";"Museum für Völkerkunde Hamburg"
207385;"2015-05-20 10:00:00";21031;"Grundschule";"Freilichtmuseum Rieck Haus "
207247;"2015-06-30 13:30:00";22765;"Grundschule";"Bucerius Kunst Forum"
188338;"2016-05-24 10:30:00";22549;"Grundschule";"Museum für Hamburgische Geschichte"
29541;"2015-06-18 11:15:00";22419;"Grundschule";"Museum für Hamburgische Geschichte"
192974;"2013-06-13 10:00:00";22119;"Grundschule";"Hamburger Kunsthalle"
199613;"2015-06-26 09:00:00";22549;"Grundschule";"Hamburger Kunsthalle"
206977;"2015-05-26 09:00:00";21147;"Grundschule";"Archäologisches Museum Hamburg "
208201;"2015-06-23 09:00:00";21077;"Förderschule";"Archäologisches Museum Hamburg "
104101;"2014-06-11 09:30:00";22393;"Grundschule";"Museum für Hamburgische Geschichte"
123526;"2016-02-18 10:00:00";22765;"Grundschule";"Bucerius Kunst Forum"
210606;"2015-10-20 11:00:00";22523;"Grundschule";"Altonaer Museum "
128281;"2016-06-02 10:00:00";21035;"Grundschule";"Hamburger Kunsthalle"
206408;"2016-05-25 12:15:00";22767;"Grundschule";"Museum für Hamburgische Geschichte"
200731;"2014-07-10 10:30:00";22145;"Grundschule";"Zoologisches Museum im CeNaK"
