"latitude";"longitude";"Schulnummer";"Schulname";"Schule.PLZ";"Schule.Strasse";"Schule.Hausnr";"Schule.Hausnr.2";"Kennz.Zweigstelle";"Ergebnis"
53.555393;10.070194;5063;"Stadtteilschule Horn";22111;"Horner Weg";89;"";"Zweigstelle";98
53.55413;10.075247;5063;"Stadtteilschule Horn";22111;"Rhiemsweg";6;"";"Zweigstelle";875
53.556522;10.073326;5063;"Stadtteilschule Horn";22111;"Snitgerreihe";2;"";"keine Zweigstelle";214
53.619407;10.121022;5064;"Erich K‰stner Schule";22159;"An der Berner Au";12;"";"Zweigstelle";722
53.614026;10.119987;5064;"Erich K‰stner Schule";22159;"Hermelinweg";10;"";"keine Zweigstelle";709
53.65669;10.022512;5065;"Fritz-Schumacher-Schule";22417;"Timmerloh";27;"";"keine Zweigstelle";727
53.658962;10.011762;5065;"Fritz-Schumacher-Schule";22419;"Foorthkamp";36;"";"Zweigstelle";272
53.591019;9.856396;5066;"Geschwister-Scholl-Stadtteilschule";22549;"Bˆttcherkamp";181;"";"keine Zweigstelle";566
53.624483;9.903831;5067;"Julius-Leber-Schule";22457;"Halstenbeker Straﬂe";41;"";"keine Zweigstelle";1669
53.639566;10.103231;5069;"Irena-Sendler-Schule";22393;"Am Pfeilshof";20;"";"keine Zweigstelle";1090
53.460821;9.973646;5070;"Goethe-Schule-Harburg";21073;"Eiﬂendorfer Straﬂe";26;"";"keine Zweigstelle";1693
53.574458;9.974398;5071;"Ida Ehre Schule";20144;"Bogenstraﬂe";36;"";"keine Zweigstelle";890
53.580176;9.977077;5071;"Ida Ehre Schule";20251;"Lehmweg";14;"";"Zweigstelle";368
53.493888;10.014258;5072;"Nelson-Mandela-Schule im Stadtteil Kirchdorf";21109;"Neuenfelder Straﬂe";106;"";"keine Zweigstelle";1100
53.615695;10.048836;5074;"Grundschule Edwin-Scharff-Ring";22309;"Edwin-Scharff-Ring";56;"";"keine Zweigstelle";254
53.617926;10.062128;5075;"Schule am See";22309;"Borchertring";38;"";"keine Zweigstelle";474
53.560904;9.922562;5076;"Max-Brauer-Schule";22761;"Bei der Paul-Gerhardt-Kirche";1;"";"keine Zweigstelle";863
53.559216;9.921395;5076;"Max-Brauer-Schule";22763;"Daimlerstraﬂe";40;"";"Zweigstelle";598
53.564681;9.822892;5077;"Stadtteilschule Blankenese";22587;"Frahmstraﬂe";15;"";"keine Zweigstelle";1102
53.645411;10.051428;5079;"Stadtteilschule Poppenb¸ttel";22339;"Poppenb¸ttler Stieg";7;"";"Zweigstelle";364
53.657524;10.081473;5079;"Stadtteilschule Poppenb¸ttel";22399;"Schulbergredder";13;"";"keine Zweigstelle";513
53.532213;9.875553;5080;"Stadtteilschule Finkenwerder";21129;"Norderschulweg";14;"";"keine Zweigstelle";616
